code,date,open,close,high,low,volume
SH.688122,2021-11-01 14:00:00,79.7,79.55,79.79,79.21,344200.0
SH.688122,2021-11-01 14:30:00,79.56,79.6,80.2,79.56,416600.0
SH.688122,2021-11-01 15:00:00,79.62,79.41,80.11,79.32,454100.0
SH.688122,2021-11-02 10:00:00,81.5,80.42,82.5,79.0,1590800.0
SH.688122,2021-11-02 10:30:00,80.42,80.54,82.0,80.18,893100.0
SH.688122,2021-11-02 11:00:00,80.53,81.19,81.2,80.3,630400.0
SH.688122,2021-11-02 11:30:00,81.18,81.05,81.3,80.81,634600.0
SH.688122,2021-11-02 13:30:00,81.05,80.58,81.18,80.49,940600.0
SH.688122,2021-11-02 14:00:00,80.58,80.98,81.27,80.58,777400.0
SH.688122,2021-11-02 14:30:00,81.0,81.8,81.85,80.52,890200.0
SH.688122,2021-11-02 15:00:00,81.78,81.26,81.8,81.12,642200.0
SH.688122,2021-11-03 10:00:00,80.68,79.56,80.96,78.86,1290400.0
SH.688122,2021-11-03 10:30:00,79.64,78.42,79.73,78.42,1044300.0
SH.688122,2021-11-03 11:00:00,78.41,78.0,78.41,77.7,659800.0
SH.688122,2021-11-03 11:30:00,77.96,77.99,78.8,77.7,489800.0
SH.688122,2021-11-03 13:30:00,77.97,77.75,78.45,77.66,381400.0
SH.688122,2021-11-03 14:00:00,77.75,77.97,78.02,77.5,508100.0
SH.688122,2021-11-03 14:30:00,77.88,78.74,78.75,77.8,396200.0
SH.688122,2021-11-03 15:00:00,78.74,78.64,78.84,78.12,543800.0
SH.688122,2021-11-04 10:00:00,78.3,79.96,80.98,78.3,1175700.0
SH.688122,2021-11-04 10:30:00,79.98,79.53,81.08,79.26,617800.0
SH.688122,2021-11-04 11:00:00,79.53,79.26,80.0,79.2,379500.0
SH.688122,2021-11-04 11:30:00,79.25,79.0,79.42,78.81,387900.0
SH.688122,2021-11-04 13:30:00,79.01,80.19,80.2,79.01,595800.0
SH.688122,2021-11-04 14:00:00,80.19,80.7,80.87,80.0,643300.0
SH.688122,2021-11-04 14:30:00,80.71,81.16,81.47,80.71,572800.0
SH.688122,2021-11-04 15:00:00,81.19,80.64,81.24,80.4,487400.0
SH.688122,2021-11-05 10:00:00,80.64,80.25,81.36,79.6,658500.0
SH.688122,2021-11-05 10:30:00,80.32,80.14,80.63,79.16,586600.0
SH.688122,2021-11-05 11:00:00,80.14,80.11,80.9,80.0,282000.0
SH.688122,2021-11-05 11:30:00,80.1,80.16,80.16,79.6,189400.0
SH.688122,2021-11-05 13:30:00,80.03,79.4,80.27,79.37,282400.0
SH.688122,2021-11-05 14:00:00,79.38,78.39,79.59,78.0,453100.0
SH.688122,2021-11-05 14:30:00,78.39,78.89,79.0,77.98,635300.0
SH.688122,2021-11-05 15:00:00,78.93,77.99,79.17,77.93,809900.0
SH.688122,2021-11-08 10:00:00,77.63,78.47,78.49,76.35,957000.0
SH.688122,2021-11-08 10:30:00,78.44,79.51,79.58,78.44,529800.0
SH.688122,2021-11-08 11:00:00,79.55,80.0,80.69,79.51,921000.0
SH.688122,2021-11-08 11:30:00,79.92,80.2,80.35,79.73,470500.0
SH.688122,2021-11-08 13:30:00,80.2,80.65,80.67,79.5,427200.0
SH.688122,2021-11-08 14:00:00,80.65,81.33,81.49,80.49,848900.0
SH.688122,2021-11-08 14:30:00,81.33,82.54,82.68,81.13,1109900.0
SH.688122,2021-11-08 15:00:00,82.55,81.9,82.78,81.8,716700.0
SH.688122,2021-11-09 10:00:00,82.33,83.87,83.88,80.5,1384200.0
SH.688122,2021-11-09 10:30:00,83.7,84.49,84.5,83.04,1129600.0
SH.688122,2021-11-09 11:00:00,84.47,85.83,86.6,84.2,1431300.0
SH.688122,2021-11-09 11:30:00,85.83,86.05,86.18,85.2,708700.0
SH.688122,2021-11-09 13:30:00,86.06,86.18,86.37,85.31,878000.0
SH.688122,2021-11-09 14:00:00,86.09,85.64,86.4,85.39,706900.0
